"Time
(hours)","MSE1
24-hr (depth)","MSE2
24-hr
(depth)","MSE3
24-hr
(depth)","MSE4
24-hr
(depth)","MSE5
24-hr
(depth)","MSE6
24-hr
(depth)","Type I
24-hr
(depth)","Type IA
24-hr
(depth)","Type II
6-hr
(depth)","Type II
12-hr
(depth)","Type II
24-hr
(depth)","Type III
6-hr
(depth)","Type III
12-hr
(depth)","Type III
24-hr
(depth)"
5,0.02234,0.0305,0.03753,0.0459,0.05529,0.06474,0.09995,0.155997,0.952592,0.184298,0.063,0.938955,0.207944,0.05675
5.1,0.02318,0.03156,0.03878,0.04736,0.05698,0.06664,0.102405,0.160594,0.957772,0.193437,0.06461,0.945792,0.217009,0.058208
5.2,0.02404,0.03265,0.04006,0.04885,0.05869,0.06856,0.104872,0.165298,0.96286,0.203711,0.06624,0.952464,0.227149,0.05968
5.3,0.02492,0.03375,0.04135,0.05035,0.06043,0.07051,0.10735,0.170106,0.967849,0.215126,0.06789,0.958974,0.238364,0.061167
5.4,0.02581,0.03487,0.04266,0.05188,0.06219,0.07248,0.109838,0.17501,0.97274,0.227682,0.06956,0.965322,0.250654,0.06267
5.5,0.02671,0.03601,0.04399,0.05342,0.06397,0.07447,0.112337,0.180002,0.977531,0.24138,0.07125,0.971508,0.264018,0.064187
5.6,0.02763,0.03717,0.04535,0.05499,0.06577,0.07649,0.114848,0.184942,0.982223,0.26973,0.07296,0.977531,0.283061,0.06572
5.7,0.02857,0.03835,0.04672,0.05658,0.0676,0.07853,0.11737,0.18999,0.986816,0.326234,0.07469,0.983392,0.312384,0.067268
5.8,0.02952,0.03954,0.04811,0.0582,0.06945,0.0806,0.119902,0.195166,0.99131,0.417124,0.07644,0.989091,0.351986,0.06883
5.9,0.03049,0.04075,0.04952,0.05983,0.07132,0.08269,0.122445,0.200494,0.995705,0.580104,0.07821,0.994627,0.40187,0.070407
6,0.03147,0.04198,0.05095,0.06148,0.07322,0.0848,0.125,0.205998,1,0.693203,0.08,1,0.500001,0.072
6.1,0.03247,0.04322,0.0524,0.06316,0.07514,0.08694,0.127614,0.211957,,0.715762,0.08181,,0.598129,0.073625
6.2,0.03349,0.04449,0.05387,0.06485,0.07708,0.0891,0.130336,0.218077,,0.735596,0.08364,,0.648014,0.0753
6.3,0.03452,0.04577,0.05536,0.06657,0.07905,0.09129,0.133166,0.224317,,0.752718,0.08549,,0.687617,0.077025
6.4,0.03556,0.04707,0.05687,0.06831,0.08103,0.09349,0.136104,0.230637,,0.76713,0.08736,,0.716939,0.0788
6.5,0.03663,0.04839,0.0584,0.07007,0.08304,0.09573,0.13915,0.236997,,0.77883,0.08925,,0.735981,0.080625
6.6,0.0377,0.04973,0.05995,0.07186,0.08508,0.09798,0.142304,0.242849,,0.788854,0.09116,,0.749346,0.0825
6.7,0.03879,0.05108,0.06152,0.07366,0.08714,0.10026,0.145566,0.248785,,0.79827,0.09309,,0.761636,0.084425
6.8,0.0399,0.05245,0.06311,0.07548,0.08921,0.10256,0.148936,0.254897,,0.807069,0.09504,,0.772851,0.0864
6.9,0.04103,0.05384,0.06472,0.07733,0.09132,0.10489,0.152414,0.261273,,0.815249,0.09701,,0.782991,0.088425
7,0.04216,0.05525,0.06635,0.0792,0.09344,0.10724,0.156,0.268001,,0.822811,0.099,,0.792057,0.0905
7.1,0.04332,0.05668,0.06799,0.08109,0.09559,0.10962,0.159656,0.275169,,0.829912,0.10101,,0.800444,0.092625
7.2,0.04449,0.05812,0.06966,0.083,0.09776,0.11201,0.163344,0.282865,,0.836665,0.10304,,0.808551,0.0948
7.3,0.04568,0.05958,0.07135,0.08493,0.09996,0.11444,0.167064,0.291177,,0.843086,0.10509,,0.816378,0.097025
7.4,0.04688,0.06106,0.07306,0.08688,0.10217,0.11688,0.170816,0.300193,,0.849174,0.10716,,0.823925,0.0993
7.5,0.04809,0.06256,0.07478,0.08886,0.10441,0.11935,0.1746,0.310002,,0.854929,0.10925,,0.831191,0.101625
7.6,0.04933,0.06408,0.07653,0.09085,0.10668,0.12184,0.178416,0.331419,,0.860382,0.11136,,0.838177,0.104
7.7,0.05057,0.06561,0.0783,0.09287,0.10896,0.12436,0.182264,0.354691,,0.865613,0.11349,,0.844883,0.106425
7.8,0.05184,0.06716,0.08008,0.09491,0.11127,0.1269,0.186144,0.378755,,0.870607,0.11564,,0.851308,0.1089
7.9,0.05312,0.06873,0.08189,0.09697,0.1136,0.12947,0.190056,0.402547,,0.875362,0.11781,,0.857453,0.111425
8,0.05441,0.07032,0.08371,0.09905,0.11596,0.13205,0.194,0.425003,,0.87988,0.12,,0.863318,0.114
